date,search_trends_anxiety,new_persons_vaccinated,new_hospitalized_patients,new_confirmed,new_intensive_care_patients
2020-12-13,8.49,30635,13404,177830,75
2020-12-14,8.93,4534,13547,195630,199
2020-12-15,8.34,45854,16191,197440,265
2020-12-16,7.92,154789,15571,237037,279
2020-12-17,7.7,266820,15247,242528,248
2020-12-18,7.08,409914,15269,233736,231
2020-12-19,6.49,178837,15164,200308,233
2020-12-20,6.72,104001,13865,183359,81
2020-12-21,7.14,377814,14155,180485,148
2020-12-22,7.08,440536,16771,196107,250
2020-12-23,6.65,563027,16461,221580,267
2020-12-24,5.71,191839,15801,197846,204
2020-12-25,5.5,12527,14509,154938,46
2020-12-26,6.26,138569,13376,146250,93
2020-12-27,6.79,93203,15145,153183,126
2020-12-28,7.31,579306,14807,174073,144
2020-12-29,7.36,705355,16610,205461,275
2020-12-30,7.17,824358,16812,231200,272
2020-12-31,6.29,412646,16751,224032,211
2021-01-01,6.67,109785,16034,221574,130
2021-01-02,7.03,256467,15131,222799,113
2021-01-03,7.57,132429,15924,202549,124
2021-01-04,8.01,602247,15075,169966,153
2021-01-05,8.22,734458,18104,239346,255
2021-01-06,7.64,833278,17704,251544,223
2021-01-07,7.83,866983,17070,262724,172
2021-01-08,7.34,847639,17008,286196,196
2021-01-09,6.75,371081,16774,249420,175
2021-01-10,7.22,177084,14511,218491,99
2021-01-11,8.29,723366,14140,199816,117
2021-01-12,8.29,918283,16641,213843,226
2021-01-13,8.02,1030870,16447,221017,199
2021-01-14,8.05,1157564,16244,217250,170
2021-01-15,7.45,1119707,16257,233727,208
2021-01-16,6.89,566517,15604,206865,171
2021-01-17,7.23,256273,13426,178458,67
2021-01-18,7.92,642278,12988,147277,109
2021-01-19,8.34,969272,14556,145943,130
2021-01-20,7.79,1158216,14074,182351,237
2021-01-21,8.19,1332707,13895,182141,141
2021-01-22,7.59,1401114,14219,184979,206
2021-01-23,6.93,741825,13318,158796,166
2021-01-24,7.52,306027,11397,138475,78
2021-01-25,8.41,860311,10714,130008,97
2021-01-26,8.39,1053932,13272,142947,177
2021-01-27,8.45,1249567,12510,152261,197
2021-01-28,8.24,1368793,12207,150434,186
2021-01-29,7.73,1372132,11227,158536,170
2021-01-30,7.1,757287,11070,131846,114
2021-01-31,7.57,321018,9524,107855,62
2021-02-01,8.26,776103,9280,125369,64
2021-02-02,8.4,962362,10687,118063,150
2021-02-03,8.47,1258571,10579,107328,175
2021-02-04,8.48,1384418,10642,121745,149
2021-02-05,7.8,1354983,10164,118717,154
2021-02-06,7.14,851525,9841,102755,104
2021-02-07,7.2,276291,8115,86652,49
2021-02-08,8.49,837472,7630,78485,54
2021-02-09,8.56,1036485,9122,89114,167
2021-02-10,8.5,1229319,8678,93554,184
2021-02-11,8.29,1276623,8340,94695,107
2021-02-12,7.54,1381557,7952,92969,98
2021-02-13,6.76,871328,7579,80459,74
2021-02-14,7.04,345289,6510,62598,53
2021-02-15,7.78,610578,5901,55389,37
2021-02-16,8.21,798390,7039,54769,120
2021-02-17,8.21,936369,7275,60394,150
2021-02-18,8.23,836027,6929,63847,141
2021-02-19,7.75,823929,6713,69225,121
2021-02-20,7.26,597425,6741,63246,81
2021-02-21,7.93,254819,5811,51712,50
2021-02-22,8.67,616727,5723,53074,50
2021-02-23,8.74,866175,6787,67536,154
2021-02-24,8.66,1244296,6596,68174,114
2021-02-25,8.46,1536904,6250,67307,102
2021-02-26,7.7,1672663,5766,69107,155
2021-02-27,7.12,1138693,5593,64199,84
2021-02-28,7.92,533671,4964,47877,32
2021-03-01,8.61,1211739,4584,48619,49
2021-03-02,8.53,1465373,5453,51165,128
2021-03-03,8.51,1741808,5402,61123,130
2021-03-04,10.9,1956346,5413,61375,79
2021-03-05,8.27,2005480,5322,59910,80
2021-03-06,7.61,1351486,5057,53464,80
2021-03-07,8.01,678365,4332,39828,22
